transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-00001,BILL-1000,2025-02-14,S4,City Center,C086,Regular,P302,Personal Care,Toothpaste 100g,2,2.2,Credit Card,0.26,In-store
TXN-2025-00002,BILL-1002,2025-02-19,S3,Suburban,C086,Regular,P101,Beverages,Orange Juice 1L,2,3.5,UPI,0.09,In-store
TXN-2025-00003,BILL-1001,2025-02-08,S4,City Center,C099,New,P102,Beverages,Organic Green Tea,2,4.2,UPI,0.03,In-store
TXN-2025-00004,BILL-1001,2025-03-27,S2,Uptown,C204,Regular,P302,Personal Care,Toothpaste 100g,1,2.2,Credit Card,0.07,In-store
TXN-2025-00005,BILL-1002,2025-03-10,S2,Uptown,C193,New,P301,Personal Care,Shampoo 250ml,2,4.0,Cash,0.12,In-store
TXN-2025-00006,BILL-1006,2025-02-12,S4,City Center,C336,Regular,P403,Household,Garbage Bags 20pcs,2,2.8,UPI,0.24,Online
TXN-2025-00007,BILL-1002,2025-02-08,S4,City Center,C240,Regular,P303,Personal Care,Handwash 300ml,4,3.0,Cash,0.23,Online
TXN-2025-00008,BILL-1002,2025-01-26,S1,Downtown,C094,Loyal,P102,Beverages,Organic Green Tea,5,4.2,UPI,0.14,In-store
TXN-2025-00009,BILL-1003,2025-03-22,S1,Downtown,C102,Regular,P301,Personal Care,Shampoo 250ml,4,4.0,Cash,0.3,In-store
TXN-2025-00010,BILL-1010,2025-02-23,S3,Suburban,C084,Regular,P403,Household,Garbage Bags 20pcs,1,2.8,UPI,0.25,In-store
TXN-2025-00011,BILL-1005,2025-03-19,S2,Uptown,C216,Regular,P301,Personal Care,Shampoo 250ml,3,4.0,UPI,0.25,In-store
TXN-2025-00012,BILL-1012,2025-01-16,S4,City Center,C018,Regular,P401,Household,Laundry Detergent 1kg,2,6.5,UPI,0.18,In-store
TXN-2025-00013,BILL-1004,2025-02-04,S3,Suburban,C194,Regular,P301,Personal Care,Shampoo 250ml,1,4.0,Cash,0.26,In-store
TXN-2025-00014,BILL-1004,2025-02-09,S1,Downtown,C074,New,P203,Snacks,Chocolate Cookies,2,2.0,UPI,0.03,In-store
TXN-2025-00015,BILL-1005,2025-01-19,S3,Suburban,C291,Regular,P103,Beverages,Sparkling Water,1,1.8,UPI,0.1,In-store
TXN-2025-00016,BILL-1016,2025-01-29,S1,Downtown,C278,Loyal,P103,Beverages,Sparkling Water,2,1.8,Cash,0.26,In-store
TXN-2025-00017,BILL-1008,2025-01-11,S4,City Center,C014,Regular,P202,Snacks,Protein Bar,3,2.5,Cash,0.03,In-store
TXN-2025-00018,BILL-1006,2025-03-23,S1,Downtown,C456,New,P102,Beverages,Organic Green Tea,2,4.2,Credit Card,0.03,In-store
TXN-2025-00019,BILL-1006,2025-01-29,S4,City Center,C183,Loyal,P302,Personal Care,Toothpaste 100g,4,2.2,Credit Card,0.27,In-store
TXN-2025-00020,BILL-1010,2025-02-03,S3,Suburban,C440,New,P302,Personal Care,Toothpaste 100g,2,2.2,UPI,0.15,In-store
TXN-2025-00021,BILL-1007,2025-03-09,S3,Suburban,C160,Regular,P301,Personal Care,Shampoo 250ml,2,4.0,UPI,0.23,Online
TXN-2025-00022,BILL-1011,2025-03-19,S3,Suburban,C391,Regular,P303,Personal Care,Handwash 300ml,4,3.0,UPI,0.12,In-store
TXN-2025-00023,BILL-1007,2025-03-07,S3,Suburban,C162,Regular,P203,Snacks,Chocolate Cookies,1,2.0,UPI,0.1,In-store
TXN-2025-00024,BILL-1012,2025-02-04,S2,Uptown,C367,New,P403,Household,Garbage Bags 20pcs,2,2.8,UPI,0.19,In-store
TXN-2025-00025,BILL-1008,2025-01-13,S2,Uptown,C319,Loyal,P302,Personal Care,Toothpaste 100g,3,2.2,UPI,0.26,In-store
TXN-2025-00026,BILL-1008,2025-03-10,S4,City Center,C119,Loyal,P203,Snacks,Chocolate Cookies,5,2.0,Cash,0.14,In-store
TXN-2025-00027,BILL-1009,2025-01-14,S4,City Center,C116,Regular,P103,Beverages,Sparkling Water,1,1.8,Cash,0.17,In-store
TXN-2025-00028,BILL-1014,2025-03-20,S1,Downtown,C487,Regular,P101,Beverages,Orange Juice 1L,1,3.5,Cash,0.05,In-store
TXN-2025-00029,BILL-1029,2025-03-09,S1,Downtown,C374,Regular,P403,Household,Garbage Bags 20pcs,2,2.8,Cash,0.23,In-store
TXN-2025-00030,BILL-1010,2025-03-27,S3,Suburban,C256,Regular,P103,Beverages,Sparkling Water,1,1.8,Cash,0.09,Online
TXN-2025-00031,BILL-1015,2025-03-11,S2,Uptown,C038,New,P303,Personal Care,Handwash 300ml,1,3.0,UPI,0.15,Online
